S. No,Producto,Código,Garantía,Especificações Técnicas
19,SOPLADOR GASOLINA,BB26A,12 Meses,"

Motor : 25,4CC Gasolina, 2 Tempos
Potencia Máxima : 1,0CV @ 7500Rpm
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,45 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Volumen De Ar : 0,17M³/S Ou 612M³/Hora"
20,SOPLADOR DE MOCHILA GASOLINA,BB43BA,12 Meses,"

Motor : 42,7Cc, A Gasolina, 2 Tempos
Potencia Máxima: 1,7CV @ 6500Rpm
Volumen De Aire : 0,28M³/S Ou 1008 M³/Hora
Tipo De Carburador : Diafragma
Capacidad Del Depósito : 1 Litro
Controle De Aceleração : No Punho"
21,CORTASETOS GASOLNA,BHT600A,12 Meses,"

Motor: 26cc, A gasolina, 2 tiempos
Potencia Máxima: 1,0 CV
Longitud del sabre: 600mm
Doble accion de corte"
22,SOPLO ASPIRADOR GASOLINA,BVB26A,12 Meses,"

Motor : 25,4CC Gasolina, 2 Tempos
Potencia Máxima : 1,0CV @ 7500Rpm
Mezcla De Combustible: 40:1 Si Es Aceite Sintético Y 25:1 Si Es Aceite Mineral
Capacidad Del Depósito: 0,45 Litros
Carburador: Diafragma
Escape Reforzado
Tipo De Arranque: Manual Retráctil
Volumen De Ar : 0,17M³/S Ou 612M³/Hora"
23,PULVERIZADOR DE MOCHILA CON BOMBA DE LATÓN GASOLINA,BS26BA,12 Meses,"

Motor : 25,4CC Gasolina, 2 tempos
Potencia Máxima: 1.0CV
Capacidad del depósito: 0,6 litros
Capacidad tanque : 25 litros
Presión trabajo : 215-355 PSI
Volumen de pulverización : 5-8 (Litros / min)
Tipo de bomba : Bomba de émbolo de alta presión
Material de la bomba : Latón
Sistema de arranque : Retráctil"
24,PULVERIZADOR DE MOCHILA INALAMBRICO ,BSBE18VBA-20,12 Meses,"

Bateria : 18V Lithium-Ion - 4.0Ah
Cargador: 110~220V
Capacidad tanque : 20 litros
Volumen de pulverización : 2,8 (Litros / min)
Tipo de bomba : Bomba Automatica
"
25,CORTACÉSPED ELÉCTRICO,BLME320RA-1,12 Meses,"

Tipo De Accionamiento : Manual
Voltage: 110V - 50/60Hz
Motor eléctrico de 1200W potencia máxima
Función De Descarga : Trasera con Pick-Up
Mango :Normal
Cubierta Delantera : No"
26,CORTACÉSPED ELÉCTRICO,BLME320RA-2,12 Meses,"

Tipo De Accionamiento : Manual
Voltage: 220V - 50/60Hz
Motor eléctrico de 1200W potencia máxima
Función De Descarga : Trasera con Pick-Up
Mango :Normal
Cubierta Delantera : No"
27,CORTACÉSPED GASOLINA,BLM430RA,12 Meses,"

Tipo De Accionamiento : Manual
Función De Descarga : 2 En 1 Trasera Y Pick-Up
Mango :Normal
Cubierta Delantera : No
Enganche De Limpieza De La Cubierta : No"
28,CORTACÉSPED GASOLINA,BLM430RTA,12 Meses,"

Tipo De Accionamiento : Autopropulsado
Función De Descarga : 4 En 1 Trasera, Lateral, Recogida, Recicladora
Empuñadura : De Goma
Cubierta Delantera : Sí
Enganche De Limpieza De La Plataforma : Sí"
